word,meaning
Absence,The lack or unavailability of something or someone.
Approval,Having a positive opinion of something or someone.
Answer,"The response or receipt to a phone call, question, or letter."
Attention,Noticing or recognizing something of interest.
Amount,A mass or a collection of something.
Borrow,To take something with the intention of returning it after a period of time.
Baffle,An event or thing that is a mystery and confuses.
Ban,An act prohibited by social pressure or law.
Banish,"Expel from the situation, often done officially."
Banter,Conversation that is teasing and playful.
Characteristic,"referring to features that are typical to the person, place, or thing."
Cars,Four-wheeled vehicles used for traveling.
Care,extra responsibility and attention.
Chip,a small and thin piece of a larger item.
Cease,to eventually stop existing.
Dialogue,A conversation between two or more people.
Decisive,a person who can make decisions promptly.
Delusion,false impression or belief.
Deplete,steady reduction in the quantity or number of something.
Derogatory,disrespectful person or statement.
Edible,something suitable to be eaten.
Effervescent,an event marked by excitement and high spirits.
Eloquent,an individual who expresses themselves effectively and clearly.
Elusive,a person skilled at evading capture.
Embody,represented in a physical form.
